Fecha,Contagios,Muertos,Recuperados_tot,Tests
3/5/2020,1,0,,
3/6/2020,1,0,,
3/7/2020,7,0,,
3/8/2020,3,0,,
3/9/2020,5,1,,
3/10/2020,2,0,,
3/11/2020,2,0,,
3/12/2020,10,0,,
3/13/2020,3,0,,
3/14/2020,11,1,,
3/15/2020,11,0,,
3/16/2020,9,0,,
3/17/2020,13,0,,
3/18/2020,19,0,,
3/19/2020,31,1,,
3/20/2020,30,0,18,
3/21/2020,67,1,23,
3/22/2020,40,0,27,
3/23/2020,36,0,32,2695
3/24/2020,84,2,52,
3/25/2020,117,2,63,3188
3/26/2020,87,4,72,3516
3/27/2020,101,5,76,4128
3/28/2020,55,2,78,
3/29/2020,75,2,91,
3/30/2020,146,4,228,
3/31/2020,88,3,240,4754
4/1/2020,79,5,248,5651
4/2/2020,132,5,256,6277
4/3/2020,88,5,266,7385
4/4/2020,98,2,279,8488
4/5/2020,103,4,280,9339
4/6/2020,74,5,325,10062
4/7/2020,87,6,338,10793
4/8/2020,80,5,358,13330
4/9/2020,99,14,365,14850
4/10/2020,81,3,375,16379
4/11/2020,167,7,440,18027
4/12/2020,66,6,468,19758
4/13/2020,69,6,515,21193
4/14/2020,166,4,559,22805
4/15/2020,128,7,596,24374
4/16/2020,98,10,631,26457
4/17/2020,89,7,666,28650
4/18/2020,81,3,685,30942
4/19/2020,102,2,709,32712
4/20/2020,91,8,737,34568
4/21/2020,112,9,840,36611
4/22/2020,144,8,872,39228
4/23/2020,147,6,919,41786
4/24/2020,172,11,976,44654
4/25/2020,173,9,1030,47406
4/26/2020,112,7,1107,49905
4/27/2020,111,5,1140,51900
4/28/2020,124,10,1162,53600
4/29/2020,158,7,1192,56058
4/30/2020,142,4,1256,58685
5/1/2020,104,11,1292,61530
5/2/2020,149,8,1320,63866
5/3/2020,102,9,1354,65813
5/4/2020,104,14,1442,67920
5/5/2020,134,4,1472,69718
5/6/2020,188,9,1524,72315
5/7/2020,163,9,1601,75198
5/8/2020,240,11,1659,77901
5/9/2020,165,7,1728,80729
5/10/2020,258,5,1757,83018
5/11/2020,244,9,1837,85158
5/12/2020,285,5,1862,87457
5/13/2020,315,10,2266,90474
5/14/2020,255,24,2385,93673
5/15/2020,345,3,2497,96893
5/16/2020,327,7,2534,100362
5/17/2020,263,10,2569,103220
5/18/2020,303,9,2625,105829
5/19/2020,438,11,2872,108634
5/20/2020,474,10,2933,112370
5/21/2020,648,13,3032,116689
5/22/2020,718,17,3062,121278 
5/23/2020,704,12,3530,125893
5/24/2020,723,7,3732,129418
5/25/2020,552,15,3999,133468
5/26/2020,599,23,4167,136662
5/27/2020,706,10,4349,140218
5/28/2020,769,8,4617,145081
5/29/2020,717,12,4788,150486
5/30/2020,795,8,5062,155407
5/31/2020,637,11,5336,160070
6/1/2020,564,17,5521,164084
6/2/2020,904,13,5709,167799
6/3/2020,949,14,5896,172947
6/4/2020,929,25,5993,178448
6/5/2020,840,24,6088,183862
6/6/2020,983,16,6180,189278
6/7/2020,774,16,6909,193923
6/8/2020,827,29,7305,198520
6/9/2020,1141,24,7568,203051
6/10/2020,1226,18,7991,208519
6/11/2020,1386,30,8332,214807
6/12/2020,1391,20,8743,221305
6/13/2020,1530,30,9083,228324
6/14/2020,1282,18,9564,234370
6/15/2020,1208,21,9891,239941
6/16/2020,1374,24,10174,245059
6/17/2020,1393,35,10512,250615
6/18/2020,1958,35,10721,257092
6/19/2020,2060,30,11851,264604
6/20/2020,1634,14,12206,273229
6/21/2020,1581,19,12728,279672
6/22/2020,2146,32,13153,285391
6/23/2020,2285,35,13576,292511
6/24/2020,2635,37,13816,300345
6/25/2020,2606,34,14788,309601
6/26/2020,2886,34,18416,318721
6/27/2020,2401,23,19143,329036
6/28/2020,2189,26,20134,336951
6/29/2020,2335,48,21138,344409 
6/30/2020,2262,27,22028,352402
7/1/2020,2667,44,23040,362908
7/2/2020,2744,34,24186,372108
7/3/2020,2845,52,25224,381431
7/4/2020,2590,44,25930,390382
7/5/2020,2439,26,27597,399454
7/6/2020,2632,75,28531,406210
7/7/2020,2979,62,30095,414697
7/8/2020,3604,51,36502,423782 
7/9/2020,3663,26,38313,434692
7/10/2020,3367,54,38984,445733
7/11/2020,3449,36,41408,456042
7/12/2020,2657,35,42694,466308
7/13/2020,3099,58,44173,474422
7/14/2020,3645,65,45467,483799
7/15/2020,4250,82,47298,495065
7/16/2020,3624,62,49120,508228
7/17/2020,4518,66,49780,519281
7/18/2020,3223,42,52607,531753
7/19/2020,4313,40,54105,541238
7/20/2020,3937,113,55913,552306
7/21/2020,5344,117,58598,563513
7/22/2020,5782,98,60531,578202
7/23/2020,6127,114,62815,593044
7/24/2020,5493,105,65447,609262
7/25/2020,4814,86,68022,623893
7/26/2020,4191,45,70518,636844
7/27/2020,4890,120,72575,647714
7/28/2020,5939,120,75083,660112
7/29/2020,5641,109,77855,675011
7/30/2020,6377,153,80596,690823
7/31/2020,5929,101,83780,707508
8/1/2020,5241,53,86499,722950
8/2/2020,5376,52,89026,736007
8/3/2020,4824,164,91302,747907 
8/4/2020,6792,168,94129,760746 
8/5/2020,7147,127,96948,777278
8/6/2020,7513,145,99852,794544
8/7/2020,7482,160,103297,812564
8/8/2020,6134,112,108242,830057
8/9/2020,4688,82,170109,845220
8/10/2020,7369,158,174954,856055
8/11/2020,7043,241,181389,872643
8/12/2020,7663,209,187283,891817
8/13/2020,7498,149,192434,911596
8/14/2020,6365,165,199005,930097
8/15/2020,6663,110,205697,949170    #dia feliz bienvenida Abril
8/16/2020,5469,66,211702,966926
8/17/2020,4557,111,217850,981459
8/18/2020,6840,233,223531,994942
8/19/2020,6693,283,228725,1012979
8/20/2020,8225,186,233651,1030992
8/21/2020,8159,215,239806,1052687
8/22/2020,7759,118,245781,1073719
8/23/2020,5352,135,251400,1092556
8/24/2020,8713,381,256789,1105878 
8/25/2020,8771,198,263202,1127098
8/26/2020,10550,276,268801,1148574
8/27/2020,10104,210,274458,1172811 
8/28/2020,11717,222,280165,1196878
8/29/2020,9230,82,287220,1222359
8/30/2020,7187,104,294007,1242269
8/31/2020,9309,203,301195,1257906
9/1/2020,10504,259,308376,1277751
9/2/2020,10933,197,315530,1300866
9/3/2020,12026,245,322461,1324687 
9/4/2020,10684,262,331621,1350038 
9/5/2020,9924,116,340381,1374524 
9/6/2020,6986,119,349132,1396887 
9/7/2020,9215,269,357388,1412149 
9/8/2020,12027,277,366590,1432624 
9/9/2020,12259,253,382490,1458619 
9/10/2020,11905,250,390098,1485790
9/11/2020,11507,241,400121,1513847 
9/12/2020,10776,115,409771,1540101
9/13/2020,9056,89,419513,1563241
9/14/2020,9909,315,428953,1581196 
9/15/2020,11892,185,438883,1602403
9/16/2020,11674,263,448266,1628194 
9/17/2020,12701,344,456347,1653616
9/18/2020,11945,196,467286,1682249
9/19/2020,9276,138,478077,1707947
9/20/2020,8431,260,488231,1729040
9/21/2020,8782,429,498379,1765069
9/22/2020,12027,470,508563,1790835
9/23/2020,12625,424,517228,1815738
9/24/2020,13467,389,525486,1842991
9/25/2020,12969,441,536589,1868089 #3.459 muertos sin procesar de distintas bases de datos
9/26/2020,11249,337,546924,1890190 #3.459 sin procesar
9/27/2020,8841,206,556489,1905361 #3.309 sin procesar
9/28/2020,11807,364,565935,1926717 #3.194 sin procesar
9/29/2020,13477,406,576715,1951789 #3.045 sin procesar
9/30/2020,14392,418,585857,1978313 #2.993 sin procesar
10/1/2020,14001,3351,594645,2002975 #procesaron todos los muertos de distintas bases de datos
10/2/2020,14687,311,603140,2030512
10/3/2020,11129,197,614515,2051037
10/4/2020,7668,221,626114,2064250
10/5/2020,11242,451,636672,2084513
10/6/2020,14740,357,649017,2110994
10/7/2020,16447,400,660272,2140435
10/8/2020,15454,485,670725,2166276
10/9/2020,15009,514,684844,2191450
10/10/2020,12414,357,697141,2211321
10/11/2020,10324,287,709474,2225558
10/12/2020,9614,318,721380,2239514
10/13/2020,13305,385,732582,2260058
10/14/2020,14932,350,742235,2283577
10/15/2020,17096,421,751146,2311239
10/16/2020,16546,381,764859,2338651
10/17/2020,13510,383,778501,2359606
10/18/2020,10561,160,791164,2373496
10/19/2020,12982,450,803965,2626406 #cambio en como se cuenta los tests
10/20/2020,16337,380,816243,2663880
10/21/2020,18326,423,829869,2702220
10/22/2020,16325,437,840520,2741416
10/23/2020,15718,381,851854,2777087
10/24/2020,11968,274,866695,2804114 
10/25/2020,9253,283,881113,2823654
10/26/2020,11712,405,894819,2850102
10/27/2020,14308,427,909586,2882949
10/28/2020,13924,344,921344,2915776
10/29/2020,13267,372,931147,2947344
10/30/2020,13379,349,946134,2980105
10/31/2020,9745,211,961101,3006804
11/1/2020,6609,138,973939,3022449
11/2/2020,9598,482,985316,3047313
11/3/2020,12145,429,998016,3078312
11/4/2020,10652,467,1009278,3114747
11/5/2020,11100,247,1030137,3142837
11/6/2020,11786,370,1042237,3177564
11/7/2020,8037,213,1053313,3214626
11/8/2020,5331,210,1062911,3228651
11/9/2020,8317,346,1073577,3258221
11/10/2020,11977,279,1081897,3289756
11/11/2020,10880,348,1091038,3346229
11/12/2020,11163,250,1100180,3377749
11/13/2020,11859,264,1110477,3409487
11/14/2020,8468,262,1119366,3434801 
11/15/2020,5645,128,1129102,3452519 
11/16/2020,7893,292,1140196,3474091
11/17/2020,10621,379,1148833,3508664
11/18/2020,10332,241,1156474,3536386
11/19/2020,10097,183,1167514,3585077 
11/20/2020,9608,260,1177819,3622893
11/21/2020,7140,112,1187053,3661948
11/22/2020,4184,100,1195492,3677688
11/23/2020,4625,119,1203800,3690837
11/24/2020,7164,310,1210634,3712880
11/25/2020,8593,281,1217284,3742317 #chau dieguito
11/26/2020,9043,229,1226662,3775098
11/27/2020,7846,275,1235257,3830421
11/28/2020,6098,106,1242877,3855893
11/29/2020,5432,151,1249843,3873231
11/30/2020,5366,257,1257227,3892522
12/1/2020,8037,198,1263251,3926286
12/2/2020,7533,228,1268358,3975760
12/3/2020,7629,149,1274675,4022872
12/4/2020,6899,206,1281955,4055795
12/5/2020,5201,121,1288785,4084362
12/6/2020,3278,138,1294692,4101188
12/7/2020,3119,118,1300696,4111139
12/8/2020,3610,121,1305587,4124441
12/9/2020,5383,213,1311488,4145226
12/10/2020,6994,211,1318187,4173392
12/11/2020,7112,175,1324792,4210197
12/12/2020,5274,62,1330160,4237401
12/13/2020,3558,96,1335317,4259194
12/14/2020,5062,273,1340120,4302194
12/15/2020,6981,164,1344300,4338785
12/16/2020,6843,162,1347914,4373384
12/17/2020,7326,169,1352556,4405320
12/18/2020,7002,138,1356755,4437322
12/19/2020,5795,91,1362617,4464725
12/20/2020,4116,50,1368346,4496873
12/21/2020,5853,184,1374401,4520949
12/22/2020,8141,257,1379726,4558637
12/23/2020,8586,60,1384277,4597960
12/24/2020,5344,54,1389277,4622415
12/25/2020,5345,54,1393777,4646871
12/26/2020,3713,79,1402227,4661855
12/27/2020,5030,149,1407926,4683310
12/28/2020,7216,217,1414680,4712288
12/29/2020,11650,151,1420885,4757372
12/30/2020,11765,145,1426676,4811498
12/31/2020,11586,130,1436676,4845697
1/1/2021,4080,26,1446884,4879897
1/2/2021,5240,56,1447092,4897167
1/3/2021,5884,107,1452960,4919347
1/4/2021,8222,152,1458083,4951166
1/5/2021,13790,151,1466616,5001234
1/6/2021,13441,191,1474048,5050350
1/7/2021,13835,146,1484794,5099516
1/8/2021,13346,151,1494896,5157845
1/9/2021,11057,144,1504330,5189835
1/10/2021,7808,78,1511750,5228200
1/11/2021,8704,160,1518715,5260563
1/12/2021,13783,194,1527861,5314594
1/13/2021,12725,135,1536423,5365242
1/14/2021,13286,142,1549490,5415971
1/15/2021,12332,103,1561963,5468091
1/16/2021,8932,68,1573104,5511604
1/17/2021,7264,112,1583465,5551195
1/18/2021,8185,424,1594768,5592646 #Buenos Aires y Santa Fe, notificaron fallecimientos surgidos del entrecruzamiento de bases
1/19/2021,12141,235,1604373,5642212
1/20/2021,12112,147,1613773,5697210
1/21/2021,11396,142,1625755,5751173
1/22/2021,10753,220,1636826,5806612
1/23/2021,8362,162,1646668,5853255
1/24/2021,5031,89,1656149,5882914
1/25/2021,7578,208,1666527,5919820
1/26/2021,10409,219,1674555,5974943
1/27/2021,10843,180,1682563,6024097
1/28/2021,9471,166,1693146,6070839
1/29/2021,9838,174,1703459,6116648
1/30/2021,6902,156,1712868,6157226
1/31/2021,4975,43,1721650,6191638
2/1/2021,6614,275,1729999,6226585
2/2/2021,9695,177,1738768,6292787
2/3/2021,9196,112,1745208,6340947
2/4/2021,8891,162,1754705,6393504
2/5/2021,8374,285,1763762,6441249
2/6/2021,6680,125,1772059,6483493
2/7/2021,3658,61,1778965,6508214
2/8/2021,5154,227,1786178,6538865
2/9/2021,7794,168,1792321,6588646
2/10/2021,7739,109,1798120,6638998
2/11/2021,7311,200,1806260,6690005
2/12/2021,7151,155,1814160,6739079
2/13/2021,6057,159,1820965,6793797
2/14/2021,4245,48,1827118,6835470
2/15/2021,3259,91,1833442,6865510
2/16/2021,4003,106,1838291,6901792
2/17/2021,6064,184,1842878,6947674
2/18/2021,7671,242,1849451,7002049
2/19/2021,7886,143,1855645,7061619
2/20/2021,5944,122,1861433,7106842
2/21/2021,3709,77,1866501,7132192
2/22/2021,5417,153,1872213,7174337
2/23/2021,7477,155,1877898,7225225
2/24/2021,8183,141,1882568,7272015
2/25/2021,8234,145,1886732,7322351
2/26/2021,5083,92,1892834,7365796
2/27/2021,5469,59,1899087,7405891
2/28/2021,3169,19,1905021,7436806
3/1/2021,4658,112,1911338,7466942
3/2/2021,6653,116,1916936,7510854
3/3/2021,7855,262,1921589,7565413
3/4/2021,7432,191,1928377,7617966
3/5/2021,7891,140,1934845,7660019
3/6/2021,4860,86,1940317,7697759
3/7/2021,2922,10,1945816,7720589
3/8/2021,5058,241,1951540,7749005
3/9/2021,7307,131,1956591,7791570
3/10/2021,7693,107,1961640,7837030
3/11/2021,8204,134,1968462,7887278
3/12/2021,7849,86,1974866,7929640
3/13/2021,6278,68,1981157,7972452
3/14/2021,3697,24,1986903,7998673
3/15/2021,6164,166,1993215,8032713
3/16/2021,8235,202,1998594,8082588
3/17/2021,8304,195,2003121,8137605
3/18/2021,8328,155,2009877,8189797
3/19/2021,8160,113,2016729,8251376
3/20/2021,6826,42,2023664,8309165
3/21/2021,4032,28,2030153,8340398
3/22/2021,6401,126,2037686,8383836
3/23/2021,9404,122,2043957,8433539
3/24/2021,8300,123,2049035,8477597
3/25/2021,8238,146,2056472,8517821
3/26/2021,12936,143,2064479,8605895
3/27/2021,10338,133,2072228,8650723
3/28/2021,7208,81,2079515,8687916
3/29/2021,14014,163,2088256,8745746
3/30/2021,10154,125,2095853,8824146
3/31/2021,16056,124,2102616,8880480
4/1/2021,14430,83,2112266,8932772
4/2/2021,9902,82,2121954,8982815
4/3/2021,10384,83,2130640,9036839
4/4/2021,9955,93,2140480,9069998
4/5/2021,13667,272,2153509,9116035
4/6/2021,20870,163,2164045,9191427
4/7/2021,22039,199,2174625,9266106
4/8/2021,23683,290,2188983,9361097
4/9/2021,24130,225,2203926,9451754
4/10/2021,19419,297,2217783,9527467
4/11/2021,15262,132,2233140,9590737
4/12/2021,19437,177,2247124,9655684
4/13/2021,27001,217,2262875,9743345
4/14/2021,25157,368,2278486,9833106
4/15/2021,24999,383,2300232,9903405
4/16/2021,29472,160,2324107,10024309
4/17/2021,19119,80,2343808,10090767
4/18/2021,16267,65,2364171,10154530
4/19/2021,20461,248,2386383,10221233
4/20/2021,29145,316,2407853,10320622
4/21/2021,25932,290,2424675,10421935
4/22/2021,27216,537,2449793,10521258
4/23/2021,27884,557,2474514,10608118
4/24/2021,21220,298,2496277,10689927
4/25/2021,15012,170,2518167,10733477
4/26/2021,18793,443,2542004,10800832
4/27/2021,25495,516,2563223,10887878
4/28/2021,23718,348,2582164,10980050
4/29/2021,26053,561,2608077,11064135
4/30/2021,22420,357,2634306,11148350
5/1/2021,16502,231,2655359,11209847
5/2/2021,11394,156,2676197,11245454
5/3/2021,15920,532,2698072,11329752
5/4/2021,26238,412,2717458,11435298
5/5/2021,24079,663,2734465,11502946
5/6/2021,24086,399,2757230,11610358
5/7/2021,22552,611,2777902,11683923
5/8/2021,18024,170,2798328,11779602
5/9/2021,11582,283,2817165,11821485
5/10/2021,17381,496,2837058,11891364
5/11/2021,25976,490,2854364,11983959
5/12/2021,24475,496,2869341,12066534
5/13/2021,26531,448,2891435,12142248
5/14/2021,27363,601,2913144,12224943
5/15/2021,21469,400,2933946,12331859
5/16/2021,16350,270,2952599,12399366
5/17/2021,28680,505,2973267,12490822
5/18/2021,35543,745,2992325,12602579
5/19/2021,39652,494,3009150,12728157
5/20/2021,35884,435,3035134,12824848
5/21/2021,35468,695,3060145,12924541
5/22/2021,32171,297,3083298,13104928
5/23/2021,24801,375,3106949,13187035
5/24/2021,22651,417,3133183,13256309
5/25/2021,24601,576,3157660,13342649
5/26/2021,35399,532,3181288,13450530
5/27/2021,41080,551,3219474,13571645
5/28/2021,39207,560,3252843,13682632
5/29/2021,29841,416,3288467,13788201
5/30/2021,21346,348,3319068,13872622
5/31/2021,28175,638,3350602,13959670
6/1/2021,35355,641,3381337,14067367
6/2/2021,35017,587,3409316,14178141
6/3/2021,32291,553,3438437,14294513
6/4/2021,30950,539,3465137,14400158
6/5/2021,23627,456,3497500,14496978
6/6/2021,16415,347,3529033,14563226
6/7/2021,22195,733,3560148,14639773
6/8/2021,31137,722,3585811,14752240
6/9/2021,29757,607,3608895,14861736
6/10/2021,27628,669,3639402,14963643
6/11/2021,26934,689,3668672,15067518
6/12/2021,18057,447,3695288,15152696
6/13/2021,13043,268,3721350,15215447
6/14/2021,21292,687,3748794,15288817
6/15/2021,27260,589,3771968,15396089
6/16/2021,25878,648,3791979,15514806
6/17/2021,23780,529,3818346,15613752
6/18/2021,20363,465,3844329,15714020
6/19/2021,15631,495,3868105,15791124
