Fecha,vacuna1,vacuna2
#2/1/2021,283791,106280
#2/5/2021,307326,163069
#2/9/2021,337533,196543
#2/12/2021,367665,222185
#2/17/2021,391975,241662
#2/22/2021,481689,264926
#2/24/2021,558831,271001
#2/25/2021,594542,278046
2/27/2021,694470,290425
2/28/2021,731571,293432
3/1/2021,801714,298270
3/2/2021,873347,306177
3/3/2021,916242,309148
3/5/2021,1133362,339148
3/6/2021,1167821,342801
3/7/2021,1195854,343628
3/8/2021,1274567,345964
3/9/2021,1382782,348411
3/10/2021,1511667,352869
3/11/2021,1662347,372198
3/12/2021,1809078,406095
3/13/2021,1932696,448733
3/15/2021,2022489,465729
3/16/2021,2131493,487666
3/17/2021,2253351,509321
3/18/2021,2353207,546922
3/19/2021,2445509,580955 
3/20/2021,2504255,603551 
3/21/2021,2528096,606358 
3/22/2021,2535054,607390 
3/23/2021,2675311,630264
3/24/2021,2722622,635150
3/25/2021,2800242,646191
3/26/2021,2890230,658426
3/27/2021,2949086,664676
3/28/2021,2959843,665440
3/29/2021,3053025,669922
3/30/2021,3073630,670936
3/31/2021,3214538,677394
4/1/2021,3342427,680590
4/2/2021,3440284,682868
4/3/2021,3495125,683771
4/4/2021,3567150,684366
4/5/2021,3663455,690589
4/6/2021,3712009,692166
4/7/2021,3870734,701085
4/8/2021,4170357,709296
4/9/2021,4244964,711059
4/10/2021,4556869,725894
4/11/2021,4637074,727705
4/12/2021,4661085,728915
4/13/2021,4836246,735632
4/14/2021,5107586,767278
4/15/2021,5163344,771802
4/16/2021,5392621,793288
4/17/2021,5474415,797968
4/18/2021,5489318,799494 
4/19/2021,5593620,808276 
4/20/2021,5620411,812730
4/21/2021,5722607,827961
4/22/2021,5851232,842206
4/23/2021,5955371,852040
4/24/2021,6149835,869471
4/25/2021,6263849,871100
4/26/2021,6341959,872745
4/27/2021,6507572,879078
4/29/2021,6806565,908441
4/30/2021,6926650,938563
5/1/2021,7020085,971869
5/2/2021,7025492,972410
5/3/2021,7051772,988021
5/4/2021,7229802,1097949
5/5/2021,7261176,1130337
5/6/2021,7431631,1208106
5/7/2021,7640728,1311093 
5/8/2021,7660652,1341095
5/9/2021,7709027,1400719
5/10/2021,7718272,1404487 
5/11/2021,7850067,1496279 
5/12/2021,7866933,1517012 
5/13/2021,7912175,1629336
5/14/2021,7953562,1750802
5/15/2021,7998150,1848911
5/16/2021,8042739,1947021
5/17/2021,8123456,1966666
5/18/2021,8250069,2094042 
5/19/2021,8279961,2103964
5/20/2021,8397337,2152184
5/21/2021,8531073,2227709 
5/22/2021,8673465,2360858
5/23/2021,8701971,2365579
5/24/2021,8754672,2400207
5/25/2021,8807373,2434836
5/26/2021,8960291,2499533
