Fecha,Contagios,Muertos,Recuperados_tot,Recuperados,Activos,Contagios_tot,Muertos_tot,Activos_tot
2020-03-05,1,0,0.0,,,1,0,1.0
2020-03-06,1,0,0.0,0.0,1.0,2,0,2.0
2020-03-07,7,0,0.0,0.0,7.0,9,0,9.0
2020-03-08,3,0,0.0,0.0,3.0,12,0,12.0
2020-03-09,5,1,0.0,0.0,4.0,17,1,16.0
2020-03-10,2,0,0.0,0.0,2.0,19,1,18.0
2020-03-11,2,0,0.0,0.0,2.0,21,1,20.0
2020-03-12,10,0,0.0,0.0,10.0,31,1,30.0
2020-03-13,3,0,0.0,0.0,3.0,34,1,33.0
2020-03-14,11,1,0.0,0.0,10.0,45,2,43.0
2020-03-15,11,0,0.0,0.0,11.0,56,2,54.0
2020-03-16,9,0,0.0,0.0,9.0,65,2,63.0
2020-03-17,13,0,0.0,0.0,13.0,78,2,76.0
2020-03-18,19,0,0.0,0.0,19.0,97,2,95.0
2020-03-19,31,1,0.0,0.0,30.0,128,3,125.0
2020-03-20,30,0,0.0,0.0,30.0,158,3,155.0
2020-03-21,67,1,0.0,0.0,66.0,225,4,221.0
2020-03-22,40,0,0.0,0.0,40.0,265,4,261.0
2020-03-23,36,0,52.0,52.0,-16.0,301,4,245.0
2020-03-24,84,2,63.0,11.0,71.0,385,6,316.0
2020-03-25,117,2,72.0,9.0,106.0,502,8,422.0
2020-03-26,87,4,76.0,4.0,79.0,589,12,501.0
2020-03-27,101,5,78.0,2.0,94.0,690,17,595.0
2020-03-28,55,2,91.0,13.0,40.0,745,19,635.0
2020-03-29,75,1,228.0,137.0,-63.0,820,20,572.0
2020-03-30,146,4,240.0,12.0,130.0,966,24,702.0
2020-03-31,88,3,248.0,8.0,77.0,1054,27,779.0
2020-04-01,79,5,256.0,8.0,66.0,1133,32,845.0
2020-04-02,132,5,266.0,10.0,117.0,1265,37,962.0
2020-04-03,88,5,279.0,13.0,70.0,1353,42,1032.0
2020-04-04,98,1,,,,1451,43,
