Fecha,Contagios,Muertos,Recuperados,Activos,Contagios_tot,Muertos_tot,Recuperados_tot,Activos_tot
2020-03-05,1,0,0.0,1.0,1,0,0.0,1.0
2020-03-06,1,0,0.0,1.0,2,0,0.0,2.0
2020-03-07,6,0,0.0,6.0,8,0,0.0,8.0
2020-03-08,3,0,0.0,3.0,11,0,0.0,11.0
2020-03-09,5,1,0.0,4.0,16,1,0.0,15.0
2020-03-10,2,0,0.0,2.0,18,1,0.0,17.0
2020-03-11,2,0,0.0,2.0,20,1,0.0,19.0
2020-03-12,10,0,0.0,10.0,30,1,0.0,29.0
2020-03-13,3,0,0.0,3.0,33,1,0.0,32.0
2020-03-14,11,1,0.0,10.0,44,2,0.0,42.0
2020-03-15,11,0,0.0,11.0,55,2,0.0,53.0
2020-03-16,9,0,0.0,9.0,64,2,0.0,62.0
2020-03-17,14,0,0.0,14.0,78,2,0.0,76.0
2020-03-18,19,0,0.0,19.0,97,2,0.0,95.0
2020-03-19,31,1,0.0,30.0,128,3,0.0,125.0
2020-03-20,30,0,0.0,30.0,158,3,0.0,155.0
2020-03-21,67,1,0.0,66.0,225,4,0.0,221.0
2020-03-22,40,0,0.0,40.0,265,4,0.0,261.0
2020-03-23,36,0,0.0,36.0,301,4,0.0,297.0
2020-03-24,84,2,52.0,30.0,385,6,52.0,327.0
2020-03-25,117,2,11.0,104.0,502,8,63.0,431.0
2020-03-26,87,4,7.0,76.0,589,12,70.0,507.0
2020-03-27,101,5,8.0,88.0,690,17,78.0,595.0
2020-03-28,55,2,13.0,40.0,745,19,91.0,635.0
2020-03-29,75,2,117.0,-44.0,820,21,208.0,591.0
2020-03-30,146,4,,,966,25,,
