Fecha,Contagios,Muertos,Recuperados_tot,Tests,Recuperados,Tests_diario,Activos,Contagios_tot,Muertos_tot,Activos_tot,Contagios_MA,Recuperados_MA,Muertos_MA,Tests_diario_MA,cont_test
2020-03-05,1,0,,,,,,1,0,,,,,,
2020-03-06,1,0,,,,,,2,0,,,,,,
2020-03-07,7,0,,,,,,9,0,,,,,,
2020-03-08,3,0,,,,,,12,0,,,,,,
2020-03-09,5,1,,,,,,17,1,,,,,,
2020-03-10,2,0,,,,,,19,1,,,,,,
2020-03-11,2,0,,,,,,21,1,,3.0,,0.14285714285714285,,
2020-03-12,10,0,,,,,,31,1,,4.285714285714286,,0.14285714285714285,,
2020-03-13,3,0,,,,,,34,1,,4.571428571428571,,0.14285714285714285,,
2020-03-14,11,1,,,,,,45,2,,5.142857142857143,,0.2857142857142857,,
2020-03-15,11,0,,,,,,56,2,,6.285714285714286,,0.2857142857142857,,
2020-03-16,9,0,,,,,,65,2,,6.857142857142857,,0.14285714285714285,,
2020-03-17,13,0,,,,,,78,2,,8.428571428571429,,0.14285714285714285,,
2020-03-18,19,0,,,,,,97,2,,10.857142857142858,,0.14285714285714285,,
2020-03-19,31,1,,,,,,128,3,,13.857142857142858,,0.2857142857142857,,
2020-03-20,30,0,18.0,,,,,158,3,137.0,17.714285714285715,,0.2857142857142857,,
2020-03-21,67,1,23.0,,5.0,,61.0,225,4,198.0,25.714285714285715,,0.2857142857142857,,
2020-03-22,40,0,27.0,,4.0,,36.0,265,4,234.0,29.857142857142858,,0.2857142857142857,,
2020-03-23,36,0,32.0,2695.0,5.0,,31.0,301,4,265.0,33.714285714285715,,0.2857142857142857,,
2020-03-24,84,2,52.0,,20.0,,62.0,385,6,327.0,43.857142857142854,,0.5714285714285714,,
2020-03-25,117,2,63.0,3188.0,11.0,,104.0,502,8,431.0,57.857142857142854,,0.8571428571428571,,
2020-03-26,87,4,72.0,3516.0,9.0,328.0,74.0,589,12,505.0,65.85714285714286,,1.2857142857142858,,26.52439024390244
2020-03-27,101,5,76.0,4128.0,4.0,612.0,92.0,690,17,597.0,76.0,8.285714285714286,2.0,,16.503267973856207
2020-03-28,55,2,78.0,,2.0,,51.0,745,19,648.0,74.28571428571429,7.857142857142857,2.142857142857143,,
2020-03-29,75,2,91.0,,13.0,,60.0,820,21,708.0,79.28571428571429,9.142857142857142,2.4285714285714284,,
2020-03-30,146,4,228.0,,137.0,,5.0,966,25,713.0,95.0,28.0,3.0,,
2020-03-31,88,3,240.0,4754.0,12.0,,73.0,1054,28,786.0,95.57142857142857,26.857142857142858,3.142857142857143,,
2020-04-01,79,5,248.0,5651.0,8.0,897.0,66.0,1133,33,852.0,90.14285714285714,26.428571428571427,3.5714285714285716,,8.807134894091416
2020-04-02,132,5,256.0,6277.0,8.0,626.0,119.0,1265,38,971.0,96.57142857142857,26.285714285714285,3.7142857142857144,,21.08626198083067
2020-04-03,88,5,266.0,7385.0,10.0,1108.0,73.0,1353,43,1044.0,94.71428571428571,27.142857142857142,3.7142857142857144,,7.9422382671480145
2020-04-04,98,2,279.0,8488.0,13.0,1103.0,83.0,1451,45,1127.0,100.85714285714286,28.714285714285715,3.7142857142857144,,8.884859474161379
2020-04-05,103,4,280.0,9339.0,1.0,851.0,98.0,1554,49,1225.0,104.85714285714286,27.0,4.0,,12.103407755581669
2020-04-06,74,5,325.0,10062.0,45.0,723.0,24.0,1628,54,1249.0,94.57142857142857,13.857142857142858,4.142857142857143,,10.235131396957122
2020-04-07,87,6,338.0,10793.0,13.0,731.0,68.0,1715,60,1317.0,94.42857142857143,14.0,4.571428571428571,862.7142857142857,11.901504787961697
